  0.131 18.451   0.160 16.158   0.199 13.867   0.245 11.581   0.300  9.300   0.363  7.024   0.433  4.755   0.509  2.493   0.591  0.239 
  0.149 18.391   0.184 16.099   0.228 13.811   0.280 11.528   0.340  9.251   0.407  6.979   0.481  4.715   0.561  2.458   0.646  0.209 
  0.170 18.332   0.211 16.043   0.260 13.758   0.317 11.478   0.382  9.204   0.454  6.937   0.531  4.677   0.615  2.426   0.703  0.182 
  0.195 18.274   0.241 15.988   0.296 13.706   0.358 11.430   0.427  9.160   0.503  6.898   0.584  4.643   0.671  2.397   0.761  0.159 
  0.224 18.218   0.275 15.935   0.335 13.657   0.401 11.385   0.475  9.120   0.554  6.862   0.639  4.613   0.728  2.372   0.821  0.140 
  0.256 18.164   0.312 15.884   0.376 13.610   0.448 11.342   0.525  9.082   0.608  6.829   0.696  4.585   0.787  2.350   0.882  0.124 
  0.291 18.112   0.352 15.836   0.421 13.566   0.496 11.303   0.578  9.047   0.664  6.800   0.754  4.562   0.848  2.332   0.944  0.112 
  0.329 18.063   0.396 15.790   0.469 13.525   0.548 11.266   0.632  9.016   0.721  6.775   0.813  4.542   0.909  2.318   1.006  0.104 
  0.371 18.015   0.442 15.747   0.519 13.486   0.601 11.233   0.688  8.989   0.780  6.753   0.874  4.526   0.971  2.308   1.069  0.100 
  0.415 17.971   0.490 15.707   0.571 13.451   0.657 11.204   0.747  8.965   0.840  6.734   0.936  4.514   1.033  2.302   1.131  0.100 
  0.463 17.929   0.541 15.671   0.625 13.420   0.714 11.178   0.806  8.944   0.901  6.720   0.998  4.505   1.096  2.300   1.194  0.104 
  0.512 17.891   0.594 15.637   0.681 13.392   0.772 11.155   0.867  8.928   0.963  6.709   1.061  4.501   1.159  2.302   1.256  0.112 
  0.564 17.856   0.650 15.607   0.739 13.367   0.832 11.136   0.928  8.915   1.025  6.703   1.124  4.500   1.221  2.307   1.318  0.124 
  0.618 17.824   0.706 15.581   0.798 13.347   0.893 11.122   0.990  8.906   1.088  6.700   1.186  4.504   1.284  2.317   1.379  0.140 
  0.674 17.795   0.765 15.558   0.859 13.329   0.955 11.111   1.053  8.901   1.151  6.701   1.249  4.511   1.345  2.330   1.439  0.159 
  0.732 17.770   0.825 15.539   0.920 13.316   1.018 11.103   1.116  8.900   1.214  6.706   1.310  4.522   1.405  2.348   1.497  0.182 
  0.791 17.749   0.886 15.523   0.982 13.307   1.080 11.100   1.178  8.903   1.276  6.716   1.371  4.538   1.464  2.369   1.554  0.209 
  0.851 17.731   0.947 15.512   1.045 13.302   1.143 11.101   1.241  8.910   1.337  6.729   1.431  4.556   1.522  2.394   1.609  0.239 
  0.913 17.718   1.010 15.504   1.108 13.300   1.206 11.106   1.303  8.921   1.398  6.745   1.490  4.579   1.578  2.422   1.662  0.273 
  0.975 17.708   1.073 15.500   1.171 13.302   1.268 11.114   1.364  8.935   1.457  6.766   1.547  4.605   1.633  2.454   1.713  0.310 
  1.037 17.702   1.135 15.501   1.233 13.309   1.330 11.127   1.424  8.954   1.515  6.790   1.602  4.635   1.685  2.489   1.761  0.350 
  1.100 17.700   1.198 15.505   1.295 13.319   1.390 11.143   1.483  8.976   1.571  6.818   1.656  4.669   1.734  2.527   1.807  0.393 
  1.100 18.700   1.100 16.500   1.100 14.300   1.100 12.100   1.100  9.900   1.100  7.700   1.100  5.500   1.100  3.300   1.100  1.100 
  1.100 18.700   1.100 16.500   1.100 14.300   1.100 12.100   1.100  9.900   1.100  7.700   1.100  5.500   1.100  3.300   1.100  1.100 
  1.100 18.700   1.100 16.375   1.112 14.176   1.124 11.977   1.136  9.780   1.148  7.585   1.159  5.390   1.169  3.196   1.179  1.003 
  1.100 18.700   1.100 16.375   1.100 14.050   1.125 11.851   1.149  9.655   1.173  7.461   1.196  5.269   1.218  3.080   1.239  0.892 
  1.100 18.700   1.100 16.375   1.100 14.050   1.100 11.725   1.137  9.527   1.173  7.332   1.209  5.141   1.244  2.954   1.277  0.769 
  1.100 18.700   1.100 16.375   1.100 14.050   1.100 11.725   1.100  9.400   1.149  7.202   1.198  5.010   1.245  2.822   1.291  0.638 
  1.100 18.700   1.100 16.375   1.100 14.050   1.100 11.725   1.100  9.400   1.100  7.075   1.161  4.878   1.222  2.687   1.281  0.502 
  1.100 18.700   1.100 16.375   1.100 14.050   1.100 11.725   1.100  9.400   1.100  7.075   1.100  4.750   1.174  2.554   1.246  0.364 
  1.100 18.700   1.100 16.375   1.100 14.050   1.100 11.725   1.100  9.400   1.100  7.075   1.100  4.750   1.100  2.425   1.186  0.229 
  1.100 18.700   1.100 16.375   1.100 14.050   1.100 11.725   1.100  9.400   1.100  7.075   1.100  4.750   1.100  2.425   1.100  0.100 
  1.100 17.900   1.178 15.704   1.256 13.515   1.332 11.334   1.406  9.161   1.477  6.994   1.544  4.835   1.608  2.682   1.666  0.534 
  1.131 17.901   1.210 15.708   1.287 13.522   1.362 11.344   1.435  9.173   1.505  7.010   1.570  4.853   1.631  2.702   1.687  0.557 
  1.163 17.902   1.241 15.712   1.317 13.530   1.392 11.355   1.463  9.187   1.531  7.026   1.595  4.872   1.654  2.723   1.708  0.580 
  1.194 17.906   1.271 15.719   1.347 13.539   1.421 11.367   1.491  9.202   1.557  7.044   1.620  4.892   1.677  2.746   1.728  0.605 
  1.225 17.910   1.302 15.726   1.377 13.549   1.449 11.380   1.518  9.218   1.583  7.062   1.643  4.913   1.698  2.769   1.747  0.630 
  1.256 17.915   1.332 15.734   1.406 13.561   1.477 11.394   1.544  9.235   1.608  7.082   1.666  4.934   1.718  2.792   1.765  0.656 
  1.287 17.922   1.362 15.744   1.435 13.573   1.505 11.410   1.570  9.253   1.631  7.102   1.687  4.957   1.738  2.817   1.782  0.682 
  1.317 17.930   1.392 15.755   1.463 13.587   1.531 11.426   1.595  9.272   1.654  7.123   1.708  4.980   1.756  2.843   1.798  0.709 
  1.347 17.939   1.421 15.767   1.491 13.602   1.557 11.444   1.620  9.292   1.677  7.146   1.728  5.005   1.774  2.869   1.813  0.737 
  1.377 17.949   1.449 15.780   1.518 13.618   1.583 11.462   1.643  9.313   1.698  7.169   1.747  5.030   1.790  2.895   1.827  0.765 
  1.406 17.961   1.477 15.794   1.544 13.635   1.608 11.482   1.666  9.334   1.718  7.192   1.765  5.056   1.806  2.923   1.839  0.794 
  1.435 17.973   1.505 15.810   1.570 13.653   1.631 11.502   1.687  9.357   1.738  7.217   1.782  5.082   1.820  2.951   1.851  0.823 
  1.463 17.987   1.531 15.826   1.595 13.672   1.654 11.523   1.708  9.380   1.756  7.243   1.798  5.109   1.833  2.979   1.861  0.853 
  1.491 18.002   1.557 15.844   1.620 13.692   1.677 11.546   1.728  9.405   1.774  7.269   1.813  5.137   1.845  3.008   1.870  0.883 
  1.518 18.018   1.583 15.862   1.643 13.713   1.698 11.569   1.747  9.430   1.790  7.295   1.827  5.165   1.856  3.038   1.878  0.913 
  1.544 18.035   1.608 15.882   1.666 13.734   1.718 11.592   1.765  9.456   1.806  7.323   1.839  5.194   1.866  3.068   1.885  0.944 
  1.570 18.053   1.631 15.902   1.687 13.757   1.738 11.617   1.782  9.482   1.820  7.351   1.851  5.223   1.874  3.098   1.890  0.975 
  1.595 18.072   1.654 15.923   1.708 13.780   1.756 11.643   1.798  9.509   1.833  7.379   1.861  5.253   1.881  3.129   1.894  1.006 
  1.620 18.092   1.677 15.946   1.728 13.805   1.774 11.669   1.813  9.537   1.845  7.408   1.870  5.283   1.888  3.159   1.898  1.037 
  1.643 18.113   1.698 15.969   1.747 13.830   1.790 11.695   1.827  9.565   1.856  7.438   1.878  5.313   1.892  3.190   1.899  1.069 
  1.666 18.134   1.718 15.992   1.765 13.856   1.806 11.723   1.839  9.594   1.866  7.468   1.885  5.344   1.896  3.222   1.900  1.100 
  1.418 18.076   1.477 15.910   1.533 13.750   1.585 11.595   1.632  9.445   1.674  7.300   1.711  5.158   1.741  3.019   1.766  0.884 
  1.666 18.134   1.718 15.992   1.765 13.856   1.806 11.723   1.839  9.594   1.866  7.468   1.885  5.344   1.896  3.222   1.900  1.100 
  1.509 17.898   1.585 15.742   1.657 13.593   1.724 11.451   1.784  9.315   1.838  7.185   1.885  5.060   1.925  2.939   1.956  0.822 
