 0.385965    7.56211    7.23395    6.90579    6.57763    6.24947    5.92131    5.59315    5.26499    4.93683    4.60867    4.28052    3.95236   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.379310    7.64319    7.30771    6.97222    6.63674    6.30125    5.96577    5.63028    5.29480    4.95931    4.62382    4.28834    3.95285   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.372881    7.72315    7.38027    7.03739    6.69451    6.35163    6.00875    5.66587    5.32299    4.98011    4.63723    4.29435   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.366667    7.80204    7.45169    7.10134    6.75100    6.40065    6.05031    5.69996    5.34961    4.99927    4.64892    4.29858   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.360656    7.87988    7.52200    7.16412    6.80623    6.44835    6.09047    5.73258    5.37470    5.01682    4.65894    4.30105   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.354839    7.95673    7.59124    7.22575    6.86026    6.49477    6.12928    5.76378    5.39829    5.03280    4.66731    4.30182   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.349206    8.03264    7.65947    7.28629    6.91312    6.53994    6.16677    5.79360    5.42042    5.04725    4.67408   4.302   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.343750    8.10764    7.72671    7.34578    6.96485    6.58392    6.20299    5.82206    5.44113    5.06020    4.67927   4.302   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.338462    8.18180    7.79303    7.40427    7.01551    6.62675    6.23799    5.84923    5.46046    5.07170    4.68294   4.302   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.333333    8.25514    7.85847    7.46180    7.06513    6.66846    6.27179    5.87512    5.47845    5.08178    4.68511   4.302   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.328358    8.32773    7.92308    7.51842    7.11376    6.70911    6.30445    5.89980    5.49514    5.09049    4.68583   4.302   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.323529    8.39961    7.98689    7.57417    7.16145    6.74873    6.33601    5.92329    5.51057    5.09785   4.686   4.302   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.318841    8.47084    8.04998    7.62911    7.20825    6.78738    6.36652    5.94565    5.52479    5.10392   4.686   4.302   3.953   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
