-2.747 -0.445  0.055
-2.743 -0.441  0.059
-2.740 -0.436  0.064
-2.737 -0.431  0.069
-2.733 -0.426  0.074
-2.730 -0.421  0.079
-2.727 -0.416  0.084
-2.723 -0.411  0.089
-2.720 -0.406  0.094
-2.717 -0.401  0.099
-2.713 -0.395  0.105
-2.710 -0.390  0.110
-2.707 -0.385  0.115
-2.703 -0.380  0.120
-2.700 -0.374  0.126
-2.697 -0.369  0.131
-2.693 -0.363  0.137
-2.690 -0.358  0.142
-2.687 -0.352  0.148
-2.683 -0.347  0.153
-2.680 -0.341  0.159
-2.677 -0.335  0.165
-2.673 -0.330  0.170
-2.670 -0.324  0.176
-2.667 -0.318  0.182
-2.663 -0.313  0.187
-2.660 -0.307  0.193
-2.657 -0.301  0.199
-2.653 -0.295  0.205
-2.650 -0.289  0.211
-2.647 -0.283  0.217
-2.643 -0.277  0.223
-2.640 -0.271  0.229
-2.637 -0.265  0.235
-2.633 -0.259  0.241
-2.630 -0.253  0.247
-2.627 -0.247  0.253
-2.623 -0.241  0.259
-2.620 -0.234  0.266
-2.617 -0.228  0.272
-2.613 -0.222  0.278
-2.610 -0.216  0.284
-2.607 -0.209  0.291
-2.603 -0.203  0.297
-2.600 -0.197  0.303
-2.597 -0.190  0.310
-2.593 -0.184  0.316
-2.590 -0.178  0.322
-2.587 -0.171  0.329
-2.583 -0.165  0.335
-2.580 -0.158  0.342
-2.577 -0.152  0.348
-2.573 -0.145  0.355
-2.570 -0.139  0.361
-2.567 -0.132  0.368
-2.563 -0.126  0.374
-2.560 -0.119  0.381
-2.557 -0.113  0.387
-2.553 -0.106  0.394
-2.550 -0.100  0.400
-2.547 -0.093  0.407
-2.543 -0.086  0.414
-2.540 -0.080  0.420
-2.537 -0.073  0.427
-2.533 -0.067  0.433
-2.530 -0.060  0.440
-2.527 -0.053  0.447
-2.523 -0.047  0.453
-2.520 -0.040  0.460
-2.517 -0.033  0.467
-2.513 -0.027  0.473
-2.510 -0.020  0.480
-2.507 -0.013  0.487
