  10.918 -3.696  11.636 -4.392  12.354 -5.088  13.073 -5.784  13.791 -6.480
  10.924 -3.690  11.647 -4.381  12.371 -5.071  13.094 -5.761  13.818 -6.451
  10.929 -3.685  11.658 -4.369  12.387 -5.054  13.116 -5.738  13.845 -6.423
  10.934 -3.679  11.669 -4.358  12.403 -5.036  13.137 -5.715  13.872 -6.394
  10.940 -3.673  11.679 -4.346  12.419 -5.019  13.159 -5.692  13.898 -6.365
  10.945 -3.667  11.690 -4.334  12.435 -5.002  13.180 -5.669  13.924 -6.336
  10.950 -3.661  11.700 -4.323  12.450 -4.984  13.200 -5.645  13.951 -6.307
  10.955 -3.655  11.711 -4.311  12.466 -4.966  13.221 -5.622  13.976 -6.277
  10.960 -3.649  11.721 -4.299  12.481 -4.948  13.242 -5.598  14.002 -6.247
  10.965 -3.643  11.731 -4.287  12.496 -4.930  13.262 -5.574  14.027 -6.217
  10.971 -3.637  11.741 -4.275  12.512 -4.912  13.282 -5.550  14.053 -6.187
  10.975 -3.631  11.751 -4.263  12.526 -4.894  13.302 -5.525  14.077 -6.157
  10.980 -3.625  11.761 -4.250  12.541 -4.876  13.322 -5.501  14.102 -6.126
  10.985 -3.619  11.771 -4.238  12.556 -4.857  13.341 -5.476  14.127 -6.095
  10.990 -3.613  11.780 -4.226  12.570 -4.839  13.361 -5.452  14.151 -6.065
  10.995 -3.607  11.790 -4.213  12.585 -4.820  13.380 -5.427  14.175 -6.033
  11.000 -3.600  11.799 -4.201  12.599 -4.801  13.399 -5.402  14.198 -6.002
  11.004 -3.594  11.809 -4.188  12.613 -4.782  13.418 -5.376  14.222 -5.971
  11.009 -3.588  11.818 -4.176  12.627 -4.763  13.436 -5.351  14.245 -5.939
  11.014 -3.581  11.827 -4.163  12.641 -4.744  13.454 -5.326  14.268 -5.907
  11.018 -3.575  11.836 -4.150  12.654 -4.725  13.473 -5.300  14.291 -5.875
  11.023 -3.569  11.845 -4.137  12.668 -4.706  13.491 -5.274  14.313 -5.843
  11.027 -3.562  11.854 -4.124  12.681 -4.686  13.508 -5.248  14.335 -5.810
  11.031 -3.556  11.863 -4.111  12.694 -4.667  13.526 -5.222  14.357 -5.778
  11.036 -3.549  11.872 -4.098  12.707 -4.647  13.543 -5.196  14.379 -5.745
  11.040 -3.542  11.880 -4.085  12.720 -4.627  13.560 -5.170  14.400 -5.712
  11.044 -3.536  11.889 -4.072  12.733 -4.607  13.577 -5.143  14.422 -5.679
  11.049 -3.529  11.897 -4.058  12.746 -4.588  13.594 -5.117  14.443 -5.646
  11.053 -3.522  11.905 -4.045  12.758 -4.567  13.611 -5.090  14.463 -5.612
  11.057 -3.516  11.913 -4.032  12.770 -4.547  13.627 -5.063  14.484 -5.579
  11.061 -3.509  11.921 -4.018  12.782 -4.527  13.643 -5.036  14.504 -5.545
  11.065 -3.502  11.929 -4.005  12.794 -4.507  13.659 -5.009  14.524 -5.511
  11.069 -3.495  11.937 -3.991  12.806 -4.486  13.675 -4.982  14.543 -5.477
  11.072 -3.489  11.945 -3.977  12.817 -4.466  13.690 -4.954  14.562 -5.443
  11.076 -3.482  11.953 -3.964  12.829 -4.445  13.705 -4.927  14.582 -5.409
  11.080 -3.475  11.960 -3.950  12.840 -4.425  13.720 -4.899  14.600 -5.374
  11.084 -3.468  11.968 -3.936  12.851 -4.404  13.735 -4.872  14.619 -5.340
  11.087 -3.461  11.975 -3.922  12.862 -4.383  13.750 -4.844  14.637 -5.305
  11.091 -3.454  11.982 -3.908  12.873 -4.362  13.764 -4.816  14.655 -5.270
  11.095 -3.447  11.989 -3.894  12.884 -4.341  13.778 -4.788  14.673 -5.235
  11.098 -3.440  11.996 -3.880  12.894 -4.320  13.792 -4.760  14.690 -5.200
  11.101 -3.433  12.003 -3.866  12.904 -4.299  13.806 -4.731  14.707 -5.164
  11.105 -3.426  12.010 -3.852  12.914 -4.277  13.819 -4.703  14.724 -5.129
  11.108 -3.419  12.016 -3.837  12.924 -4.256  13.833 -4.675  14.741 -5.093
  11.111 -3.412  12.023 -3.823  12.934 -4.235  13.846 -4.646  14.757 -5.058
  11.115 -3.404  12.029 -3.809  12.944 -4.213  13.858 -4.617  14.773 -5.022
  11.118 -3.397  12.036 -3.794  12.953 -4.191  13.871 -4.589  14.789 -4.986
  11.121 -3.390  12.042 -3.780  12.963 -4.170  13.883 -4.560  14.804 -4.950
  11.124 -3.383  12.048 -3.765  12.972 -4.148  13.896 -4.531  14.819 -4.913
  11.127 -3.375  12.054 -3.751  12.981 -4.126  13.907 -4.502  14.834 -4.877
  11.130 -3.368  12.060 -3.736  12.989 -4.104  13.919 -4.472  14.849 -4.841
  11.133 -3.361  12.065 -3.722  12.998 -4.082  13.931 -4.443  14.863 -4.804
  11.135 -3.353  12.071 -3.707  13.006 -4.060  13.942 -4.414  14.877 -4.767
  11.138 -3.346  12.076 -3.692  13.015 -4.038  13.953 -4.384  14.891 -4.731
  11.141 -3.339  12.082 -3.677  13.023 -4.016  13.964 -4.355  14.904 -4.694
  11.144 -3.331  12.087 -3.663  13.031 -3.994  13.974 -4.325  14.918 -4.657
  11.146 -3.324  12.092 -3.648  13.038 -3.972  13.984 -4.296  14.930 -4.620
